Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Term Source REF	Term Accession Number	Parameter Value[Spike-in Mix Number]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[library selection]	Parameter Value[library layout]	Parameter Value[stranded]	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Comment[Library Prep Date]	Protocol REF	Parameter Value[sequencing instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[base caller]	Assay Name	Raw Data File	Protocol REF	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[Raw sequence data/MultiQC Reports]
RR8_LVR_FLT_ISS-T_YNG_FI1	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.3	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI1	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			313	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	17-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI1_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI1_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	63471390	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI2	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI2	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			313	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI2_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI2_R2_raw.fastq.gz	GeneLab raw data processing protocol	5.72	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	52088381	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI3	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI3	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			306	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI3_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI3_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	57385523	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI4	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	7.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI4	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			354	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI4_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI4_R2_raw.fastq.gz	GeneLab raw data processing protocol	0.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	60042793	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI5	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI5	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			318/381	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI5_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI5_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.03	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	60937291	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI6	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	7.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI6	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			340	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI6_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI6_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.2	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	62510026	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI7	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI7	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			380	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	2-Dec-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI7_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI7_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.03	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	64756484	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI8	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI8	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			345	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI8_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI8_R2_raw.fastq.gz	GeneLab raw data processing protocol	7.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	63682512	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI9	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	7.8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI9	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			345	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	29-Oct-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI9_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI9_R2_raw.fastq.gz	GeneLab raw data processing protocol	0.96	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	58411022	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_YNG_FI10	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_YNG_FI10	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			310	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	17-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI10_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_YNG_FI10_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.56	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	53569082	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI11	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	7.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI11	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			361	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	29-Oct-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI11_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI11_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	60650732	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI12	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.4	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI12	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			350	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI12_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI12_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	54890365	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI13	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI13	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			335	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI13_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI13_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.2	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	61252641	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI14	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI14	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			371	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI14_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI14_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.81	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	65021384	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI15	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI15	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			324	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI15_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI15_R2_raw.fastq.gz	GeneLab raw data processing protocol	0.73	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	62429007	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI16	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.4	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI16	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			386	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI16_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI16_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	66531392	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI17	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.4	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI17	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			343	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	29-Oct-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI17_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI17_R2_raw.fastq.gz	GeneLab raw data processing protocol	0.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	59533317	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI18	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.3	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI18	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			311	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	17-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI18_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI18_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	66942709	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI19	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI19	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			335	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI19_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI19_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	56520196	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_ISS-T_OLD_FI20	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.3	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_ISS-T_OLD_FI20	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			318	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI20_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_ISS-T_OLD_FI20_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	62142843	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_LAR_YNG_FL1	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA 6000 Nano Assay	10	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_LAR_YNG_FL1	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			352	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_LAR_YNG_FL1_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_LAR_YNG_FL1_R2_raw.fastq.gz	GeneLab raw data processing protocol	4.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	56031979	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_LAR_YNG_FL2	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA 6000 Nano Assay	10	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_LAR_YNG_FL2	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			359	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_LAR_YNG_FL2_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_LAR_YNG_FL2_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.43	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	60432491	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_FLT_LAR_OLD_FL3	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA 6000 Nano Assay	9.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_FLT_LAR_OLD_FL3	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			305/394	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_FLT_LAR_OLD_FL3_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_FLT_LAR_OLD_FL3_R2_raw.fastq.gz	GeneLab raw data processing protocol	0.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	59686236	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
